step,ssim_score,loss
1,6.4410e-02,9.2140e+02
2,6.4410e-02,9.2140e+02
3,3.2540e-02,9.2140e+02
4,2.7620e-02,1.0570e+03
5,3.4190e-02,8.1580e+02
6,4.4960e-02,6.4450e+02
7,5.2620e-02,5.3040e+02
8,5.3470e-02,4.5530e+02
9,5.5740e-02,3.8520e+02
10,5.7850e-02,3.3630e+02
11,6.1290e-02,2.9800e+02
12,6.4670e-02,2.6650e+02
13,6.8300e-02,2.3940e+02
14,7.1350e-02,2.1740e+02
15,7.4430e-02,1.9860e+02
16,7.6900e-02,1.8250e+02
17,7.9620e-02,1.6840e+02
18,8.1980e-02,1.5630e+02
19,8.4660e-02,1.4550e+02
20,8.7070e-02,1.3610e+02
21,8.9650e-02,1.2750e+02
22,9.1640e-02,1.2000e+02
23,9.3890e-02,1.1300e+02
24,9.5810e-02,1.0680e+02
25,9.7710e-02,1.0120e+02
26,9.9510e-02,9.6180e+01
27,1.0150e-01,9.1410e+01
28,1.0320e-01,8.7000e+01
29,1.0480e-01,8.3030e+01
30,1.0630e-01,7.9430e+01
31,1.0800e-01,7.6170e+01
32,1.0960e-01,7.3050e+01
33,1.1120e-01,7.0040e+01
34,1.1250e-01,6.7280e+01
35,1.1400e-01,6.4740e+01
36,1.1540e-01,6.2440e+01
37,1.1690e-01,6.0130e+01
38,1.1800e-01,5.8080e+01
39,1.1940e-01,5.6020e+01
40,1.2080e-01,5.4170e+01
41,1.2190e-01,5.2440e+01
42,1.2310e-01,5.0880e+01
43,1.2460e-01,4.9270e+01
44,1.2590e-01,4.7700e+01
45,1.2690e-01,4.6310e+01
46,1.2810e-01,4.4980e+01
47,1.2930e-01,4.3680e+01
48,1.3050e-01,4.2540e+01
49,1.3150e-01,4.1380e+01
50,1.3270e-01,4.0270e+01
51,1.3360e-01,3.9300e+01
52,1.3480e-01,3.8320e+01
53,1.3580e-01,3.7370e+01
54,1.3670e-01,3.6500e+01
55,1.3770e-01,3.5710e+01
