step,ssim_score,loss
1,6.4410e-02,2.3636e+02
2,6.4410e-02,2.3636e+02
3,6.4650e-02,2.3636e+02
4,6.5600e-02,2.0985e+02
5,6.4580e-02,1.9336e+02
6,6.1750e-02,1.7439e+02
7,6.0800e-02,1.5784e+02
8,6.0700e-02,1.4405e+02
9,6.1450e-02,1.3133e+02
10,6.3020e-02,1.2143e+02
11,6.5270e-02,1.1294e+02
12,6.8100e-02,1.0528e+02
13,7.0700e-02,9.8490e+01
14,7.3060e-02,9.2530e+01
15,7.5970e-02,8.7100e+01
16,7.8820e-02,8.2240e+01
17,8.1590e-02,7.7970e+01
18,8.4320e-02,7.4100e+01
19,8.7290e-02,7.0570e+01
20,8.9640e-02,6.7400e+01
21,9.2690e-02,6.4550e+01
22,9.4450e-02,6.2080e+01
23,9.6980e-02,5.9690e+01
24,9.8720e-02,5.7260e+01
25,1.0160e-01,5.5170e+01
26,1.0390e-01,5.3190e+01
27,1.0660e-01,5.1270e+01
28,1.0800e-01,4.9470e+01
29,1.1080e-01,4.7770e+01
30,1.1220e-01,4.6340e+01
31,1.1450e-01,4.4880e+01
32,1.1650e-01,4.3490e+01
33,1.1870e-01,4.2160e+01
34,1.2030e-01,4.0940e+01
35,1.2250e-01,3.9730e+01
36,1.2400e-01,3.8650e+01
37,1.2600e-01,3.7600e+01
38,1.2750e-01,3.6590e+01
39,1.2950e-01,3.5620e+01
40,1.3060e-01,3.4733e+01
41,1.3270e-01,3.3836e+01
42,1.3380e-01,3.3025e+01
43,1.3570e-01,3.2211e+01
44,1.3700e-01,3.1425e+01
45,1.3860e-01,3.0664e+01
46,1.3990e-01,2.9975e+01
47,1.4160e-01,2.9281e+01
48,1.4270e-01,2.8649e+01
49,1.4420e-01,2.8023e+01
50,1.4540e-01,2.7430e+01
51,1.4660e-01,2.6851e+01
52,1.4760e-01,2.6315e+01
53,1.4880e-01,2.5787e+01
54,1.5030e-01,2.5266e+01
55,1.5130e-01,2.4777e+01
56,1.5270e-01,2.4278e+01
57,1.5350e-01,2.3808e+01
58,1.5490e-01,2.3393e+01
59,1.5560e-01,2.2971e+01
60,1.5670e-01,2.2553e+01
61,1.5760e-01,2.2155e+01
62,1.5890e-01,2.1765e+01
63,1.5990e-01,2.1362e+01
64,1.6080e-01,2.0975e+01
65,1.6160e-01,2.0637e+01
66,1.6280e-01,2.0298e+01
67,1.6380e-01,1.9937e+01
68,1.6460e-01,1.9601e+01
69,1.6560e-01,1.9275e+01
70,1.6660e-01,1.8952e+01
71,1.6720e-01,1.8671e+01
72,1.6840e-01,1.8382e+01
73,1.6900e-01,1.8115e+01
74,1.6980e-01,1.7863e+01
75,1.7030e-01,1.7569e+01
76,1.7110e-01,1.7322e+01
77,1.7210e-01,1.7078e+01
78,1.7300e-01,1.6819e+01
79,1.7370e-01,1.6555e+01
80,1.7450e-01,1.6304e+01
81,1.7520e-01,1.6073e+01
82,1.7620e-01,1.5839e+01
83,1.7670e-01,1.5608e+01
84,1.7760e-01,1.5388e+01
85,1.7810e-01,1.5183e+01
86,1.7890e-01,1.4974e+01
87,1.7950e-01,1.4781e+01
88,1.8030e-01,1.4588e+01
89,1.8100e-01,1.4410e+01
90,1.8160e-01,1.4216e+01
91,1.8240e-01,1.4020e+01
92,1.8300e-01,1.3838e+01
93,1.8370e-01,1.3661e+01
94,1.8440e-01,1.3484e+01
95,1.8510e-01,1.3316e+01
96,1.8560e-01,1.3158e+01
97,1.8630e-01,1.2993e+01
98,1.8680e-01,1.2837e+01
99,1.8750e-01,1.2682e+01
100,1.8800e-01,1.2527e+01
101,1.8870e-01,1.2382e+01
102,1.8920e-01,1.2246e+01
103,1.9000e-01,1.2097e+01
104,1.9050e-01,1.1950e+01
105,1.9110e-01,1.1814e+01
106,1.9170e-01,1.1679e+01
107,1.9230e-01,1.1540e+01
108,1.9270e-01,1.1415e+01
109,1.9360e-01,1.1288e+01
110,1.9390e-01,1.1165e+01
111,1.9440e-01,1.1046e+01
112,1.9500e-01,1.0931e+01
113,1.9560e-01,1.0810e+01
114,1.9610e-01,1.0697e+01
115,1.9670e-01,1.0582e+01
116,1.9730e-01,1.0467e+01
117,1.9770e-01,1.0360e+01
118,1.9820e-01,1.0259e+01
119,1.9870e-01,1.0154e+01
120,1.9930e-01,1.0055e+01
121,1.9960e-01,9.9610e+00
122,2.0030e-01,9.8670e+00
123,2.0060e-01,9.7740e+00
124,2.0100e-01,9.6760e+00
125,2.0160e-01,9.5780e+00
126,2.0230e-01,9.4800e+00
127,2.0260e-01,9.3930e+00
128,2.0310e-01,9.3020e+00
130,2.0400e-01,9.1340e+00
131,2.0450e-01,9.0490e+00
132,2.0500e-01,8.9600e+00
133,2.0520e-01,8.8840e+00
134,2.0580e-01,8.8110e+00
135,2.0620e-01,8.7270e+00
136,2.0670e-01,8.6540e+00
137,2.0710e-01,8.5720e+00
139,2.0790e-01,8.4190e+00
140,2.0840e-01,8.3460e+00
141,2.0880e-01,8.2680e+00
142,2.0920e-01,8.1980e+00
143,2.0960e-01,8.1300e+00
145,2.1040e-01,7.9980e+00
146,2.1050e-01,7.9360e+00
147,2.1120e-01,7.8740e+00
148,2.1140e-01,7.8200e+00
149,2.1170e-01,7.7520e+00
151,2.1270e-01,7.6170e+00
152,2.1310e-01,7.5550e+00
153,2.1340e-01,7.4920e+00
155,2.1410e-01,7.3800e+00
156,2.1450e-01,7.3240e+00
157,2.1490e-01,7.2630e+00
159,2.1560e-01,7.1480e+00
160,2.1600e-01,7.0940e+00
161,2.1630e-01,7.0400e+00
163,2.1690e-01,6.9460e+00
164,2.1740e-01,6.8870e+00
165,2.1750e-01,6.8400e+00
167,2.1820e-01,6.7490e+00
168,2.1840e-01,6.6920e+00
170,2.1940e-01,6.5990e+00
171,2.1970e-01,6.5510e+00
173,2.2020e-01,6.4630e+00
174,2.2050e-01,6.4130e+00
175,2.2080e-01,6.3720e+00
177,2.2150e-01,6.2770e+00
178,2.2170e-01,6.2390e+00
180,2.2240e-01,6.1510e+00
181,2.2270e-01,6.1120e+00
183,2.2330e-01,6.0250e+00
185,2.2390e-01,5.9440e+00
186,2.2430e-01,5.9020e+00
188,2.2480e-01,5.8210e+00
189,2.2510e-01,5.7850e+00
191,2.2570e-01,5.7070e+00
192,2.2600e-01,5.6680e+00
194,2.2660e-01,5.5940e+00
196,2.2710e-01,5.5280e+00
197,2.2740e-01,5.4910e+00
199,2.2780e-01,5.4260e+00
201,2.2830e-01,5.3650e+00
202,2.2860e-01,5.3330e+00
204,2.2910e-01,5.2680e+00
206,2.2970e-01,5.2040e+00
208,2.3010e-01,5.1430e+00
209,2.3040e-01,5.1100e+00
211,2.3090e-01,5.0510e+00
213,2.3140e-01,4.9920e+00
215,2.3200e-01,4.9300e+00
217,2.3250e-01,4.8750e+00
218,2.3250e-01,4.8470e+00
220,2.3300e-01,4.8000e+00
222,2.3350e-01,4.7430e+00
224,2.3400e-01,4.6900e+00
226,2.3440e-01,4.6370e+00
228,2.3480e-01,4.5850e+00
230,2.3540e-01,4.5320e+00
232,2.3580e-01,4.4790e+00
234,2.3640e-01,4.4290e+00
236,2.3680e-01,4.3810e+00
238,2.3710e-01,4.3340e+00
240,2.3760e-01,4.2840e+00
242,2.3800e-01,4.2400e+00
244,2.3840e-01,4.1940e+00
246,2.3880e-01,4.1460e+00
248,2.3930e-01,4.1030e+00
250,2.3960e-01,4.0590e+00
252,2.4000e-01,4.0180e+00
254,2.4040e-01,3.9770e+00
256,2.4080e-01,3.9350e+00
259,2.4140e-01,3.8730e+00
261,2.4190e-01,3.8290e+00
263,2.4230e-01,3.7930e+00
265,2.4260e-01,3.7530e+00
267,2.4300e-01,3.7140e+00
270,2.4360e-01,3.6560e+00
272,2.4400e-01,3.6210e+00
274,2.4430e-01,3.5830e+00
277,2.4490e-01,3.5320e+00
279,2.4530e-01,3.4960e+00
281,2.4580e-01,3.4600e+00
284,2.4620e-01,3.4070e+00
286,2.4660e-01,3.3720e+00
289,2.4710e-01,3.3240e+00
291,2.4750e-01,3.2880e+00
293,2.4790e-01,3.2550e+00
296,2.4840e-01,3.2080e+00
298,2.4870e-01,3.1780e+00
301,2.4920e-01,3.1340e+00
303,2.4960e-01,3.1030e+00
306,2.5020e-01,3.0580e+00
309,2.5060e-01,3.0140e+00
311,2.5100e-01,2.9850e+00
314,2.5150e-01,2.9480e+00
317,2.5200e-01,2.9040e+00
319,2.5230e-01,2.8760e+00
322,2.5280e-01,2.8370e+00
325,2.5330e-01,2.7970e+00
327,2.5380e-01,2.7710e+00
330,2.5410e-01,2.7340e+00
333,2.5470e-01,2.6980e+00
336,2.5520e-01,2.6620e+00
339,2.5550e-01,2.6270e+00
341,2.5600e-01,2.6040e+00
344,2.5640e-01,2.5680e+00
347,2.5690e-01,2.5340e+00
350,2.5740e-01,2.5011e+00
353,2.5780e-01,2.4660e+00
356,2.5830e-01,2.4331e+00
359,2.5880e-01,2.4023e+00
362,2.5920e-01,2.3702e+00
365,2.5960e-01,2.3395e+00
368,2.6010e-01,2.3095e+00
372,2.6080e-01,2.2715e+00
